"ALPA4","BBAS3","BBDC3","BBDC4","CMIG4","CPLE6","ELET3","ELET6","EMBR3","GGBR4","ITSA4","LIGT3","PETR3","PETR4","SBSP3","VIVT3"
"44",1.6300176298,11.584254031,3.5629982893,4.956347916,19.520287092,2.4691315441,12.359554837,10.067109395,11.374405569,31.31103205,14.113798873,20.576135315,8.2372259019,7.6106181186,14.096918728,15.1327386
"45",5.3254457694,3.8961093938,-6.6652797887,-8.7649686991,6.0512565005,9.2771062842,10,9.9593519328,-2.9787266508,-7.9332894806,-9.0012963113,52.559725747,0.22831283532,-0.24670676494,-2.7567608121,19.907761124
"46",-4.4943836853,17.499994419,7.9805811636,5.4394510526,23.668121112,17.420070296,48.14049667,39.186692938,16.666670571,3.3434614219,12.06225972,-0.67114190651,2.0501162597,3.8746882359,1.7152415556,12.375344019
"47",11.747058823,30.319148936,22.435867235,17.986688078,10.875706214,19.624413146,14.337517433,10.783532536,9.022556391,17.393387638,6.25,17.995495496,10.438720301,10.946405902,14.138496369,-1.9108280255
"48",12.112284387,-2.0408163265,14.151233141,10.912885345,15.568975566,6.7503924645,18.321541839,8.3672980101,34.196381344,24.489795918,16.518708612,52.510020996,18.117977528,14.23444976,15.424204888,25.702898338
"49",-3,-15,-7.7094557854,-5.2324410577,-5.6872037914,-15.808823529,-27.628865979,-21.902654867,-7.2538860103,2.1173724574,-3.2258064515,-9.5118898622,1.0701545778,2.4738219896,-13.948715002,3.5342465753
"50",-1.6985003889,8.8629309137,1.1644097725,1.5659209876,4.5226130653,-4.8034934497,-7.1225071225,-2.2662889519,-5.9776536314,1.7142857143,6.5113497436,-22.531120332,6.2352941177,4.7387916718,13.259259259,1.8788039164
"51",5.2631578947,7.5288683604,-7.2001186931,-4.6958502557,-2.5961538461,0.36697247706,12.883435583,9.5652173914,6.9416913937,8.8930677033,-4.1309977402,3.0173183361,10.242118094,7.1595920199,-5.870174027,8.051948052
"52",0,-17.95532646,-13.802598364,-14.151045221,-9.3780848964,-10.642858098,-17.391304348,-14.603174603,-18.812989922,-7.738095238,-14.701321086,-17.660311958,-13.021101389,-12.631578947,-5.9978954754,-11.937112768
"53",1.7701329687,8.9005235601,8.1557310159,10.041739376,-4.3114826221,-3.7422037422,-5.0078136255,-2.7552752232,-1.8620689655,5.806451613,15.087719298,-5.1778572932,-4.7455621303,-3.9089692101,-11.492537313,2.849002849
"54",22,8.173076923,6.7475090958,8.1410656116,9.3185591859,8.5313174946,7.6573426573,5.789110958,18.162462371,13.262195122,9.9908301781,19.86681465,6.4728537707,7.7040958484,12.984822934,10.803324099
"55",-1.6393442623,2.3686531666,1.6162177313,-0.084271340256,20.51948052,9.4527363182,41.474504709,35.146579804,-2.7108433736,18.328767123,-4.1666666666,7.8333333333,0,1.0218600439,4.4925373135,0.49999999992
"56",18.178785586,8.2521700328,0.12133158434,1.8232880939,-3.0172413793,-9.0909090908,-7.7134986225,-8.3875632683,-8.1114551083,13.230992688,4.7924135712,5.61566203,5.4842473746,4.9935979514,-0.49278674487,-1.4925373135
"57",14.249999999,3.9175257732,2.7119733877,5.7226101162,12.830552224,2.3000000001,13.681592039,11.812680873,-5.4119053787,-3.8183694531,6.6057551674,-2.1951219511,14.71238938,14.43902439,-3.8110959592,2.2727272728
"58",3.1572366366,12.341269841,19.715805202,14.925290674,9.634551495,0.19550342113,-1.9693654267,-0.63529411764,-2.3861171367,-9.4635193133,7.8534031414,-5.5694098089,1.787487587,2.8731836195,-13.445754365,5.5942701118
"59",-10.0167584,12.5044154,4.8126507956,2.9714963326,-4.3181818183,22.146341463,-1.7857142857,2.8889415107,2.5925925927,17.43576353,3.1553398057,10.915492957,-0.34146341459,-0.58855002671,25.844827586,1.8219677253
"60",26.647534229,3.1517994106,20.105499315,13.367113196,4.3835660807,-7.3482428114,-12.5,-9.7813578826,15.74956783,-2.9820261439,11.898387609,-0.57142857131,4.2584434656,4.5748116254,9.9508785188,18.865030675
"61",-0.0083333332441,-4.9230769231,-5.1834639104,0.35860129883,-10.260219805,1.2931034484,-11.948051948,-16.096938776,-5.8860759494,-7.7894736842,-1.7391304348,-12.212643678,0.75117370889,-2.933607823,-12.511908542,-9.5698924731
"62",2.7863433063,1.1418768647,30.669431545,27.25682681,16.034482759,20.765957447,11.474926253,10.063849194,11.297915265,18.84146722,12.168141593,3.4733587925,18.359739049,17.953340403,14.740124307,10.558858501
"63",-7.0270270271,-4.5161290322,-4.8891381847,-5.5468504636,-8.6181277861,-11.839323467,-6.0862662079,-5.5248618785,-2.9848572801,-13.052011776,-2.4030278865,-2.4780316344,-7.4803149607,-7.2642272768,-17.032932034,-13.09959131
"64",-8.430232558,-1.1824324325,-4.0966536369,3.2922797673,18.536585366,13.438008982,-11.524373062,-4.649122807,-12.060301507,-17.618510158,0,-23.409623355,-7.1930962023,-6.8799460792,0.95969289832,-1.428973772
"65",7.8783916311,4.9572649574,9.1255662728,-2.7206217634,1.7072027689,0.072516316141,15.059825478,10.440449655,2.8571428571,1.9242814491,0.14406670798,47.058823529,4.2883720929,6.4021164022,9.0369678212,0.50102828845
"66",6.0303030305,3.0944625407,14.511005451,8.2625841258,1.9178082192,-3.4782608696,-8.12849162,-8.212121212,1.9053862472,-6.9958847736,3.4534275124,-8.8,8.2062260281,6.7130780706,-0.35915492954,-0.9041095891
"67",-0.89411251392,-1.1058451818,-3.8297444394,-0.12630764659,6.7568454047,-0.15015015006,-0.15202189115,0.85836909875,0.41265474556,10.17699115,1.5748031497,-7.4686668462,5.0205347414,3.4947768279,4.9491508784,-1.9076582804
"68",24.62961495,14.016762119,16.080527069,20.527407167,6.3129357088,1.7293233082,-0.73081607798,2.7823240589,9.5890410958,16.561682414,14.768667693,-12.463526469,18.675179569,19.287942742,1.3630136986,-1.3528748589
"69",6.408706167,24.390942964,16.301070376,8.8686036328,3.2179720705,28.677014043,37.116564417,36.942675159,4.0985853133,17.232924693,9.3472638642,-10.571428571,8.2716879624,9.6923076924,6.3517805258,1.5488546567
"70",1.8181818183,-4.6082949309,2.9490905326,6.5854040873,-3.5294117649,-5.4566341183,-11.856823266,-9.534883721,-2.4848484848,-8.7541081564,4.9844236761,-16.49033824,-11.428571428,-9.649368864,-8.5710655061,2.1439509952
"71",23.860385338,-5.3140096618,18.281999966,18.609667083,10.465787972,16.038882138,2.2842639593,4.2416452441,-3.0453697948,8.8407419184,12.017804154,5.9469941823,5.4698457221,6.3334368208,-1.4351634406,7.9460269866
"72",32.586520947,7.6530612245,4.5688125239,0.11874872652,6.4068100359,-5.8115183247,-5.7071960297,-2.3427866831,16.318147974,19.890176937,0.5055100457,-6.3453325199,9.8404255319,8.6423357665,17.046833122,4.1388888889
"73",14.919631817,26.895734597,26.820758908,28.567660209,18.892858934,12.562534741,4.7368421052,6.0606060604,21.666666667,22.13740458,21.621621622,-2.8664495115,26.691176471,28.030509398,17.197452229,7.4363601498
"74",7.5911536162,4.6994016202,-1.5067572524,0.72582647445,2.2897897898,15.061728395,13.040201005,11.071428571,-5.7077625572,3.0039904086,2.7777777777,34.004024145,-5.9779454441,-4.7872340426,-7.0108695652,1.8987341771
"75",-1.0035727003,0.92744135291,-12.63761787,-11.112963774,-9.4036697248,-6.9098712446,8.3574127584,2.7867095392,-5.4721549637,-0.81632653064,1.4122034594,-25.375375375,-4.1152263375,-3.5977653631,11.630625365,5.8385093167
"76",6.5610488169,11.150469906,2.3180045799,2.7433142845,1.8126582279,7.7616974211,23.595862979,20.022549052,-0.1024590163,11.296296296,2.141327623,7.4446680079,10.900556812,8.6972611274,6.8062827224,0.44600938963
"77",6.1441305448,-7.3371805442,-2.1910354699,-12.020503756,-9.6535496133,-17.030567686,-28.189712759,-25.547445256,-2.8205128205,-10.469033641,-7.763129369,-16.978776529,-3.0974318762,-4.8237075492,1.8553793947,-5.8308483453
"78",0.90909090904,-11.067615658,-8.5457677435,-3.2375966782,5.1534585433,7.3684210525,9.3023255813,10.049019607,5.3310838848,1.71875,-0.65527823763,9.022556391,-2.0837548047,-1.8636363636,-0.34448818888,4.0000000001
"79",-8.4084084085,-0.16006402557,6.7261291653,8.1643744345,2.9494538261,7.5980392157,-2.5531914894,-2.8953229397,-7.0707070708,4.4546850999,3.2110091743,3.1724137931,3.2024793389,3.9833256138,7.1604938272,-2.5641025642
"80",0.66551087748,0.072453999383,-2.1619676465,-4.4713968116,-5.9011164275,5.0113895217,2.1834061135,-1.8348623854,14.076086956,-7.997457688,1.1039157767,5.1470588234,-4.8648648649,-4.2316258353,8.3041474654,6.5789473683
"81",-1.6393442623,-1.0416666666,3.513455619,3.6197895808,-3.6158192091,6.2906724512,2.5641025641,5.1401869157,2.2800121855,-5.5250403878,-0.96962334155,0.44500953609,-4.5664983166,-5.6046511627,10.620372734,0.91358024692
"82",8.3555555555,9.347368421,5.9888097012,8.4714202869,8.347010551,-0.40816326527,-6.0416666667,-4.6666666667,4.3192488265,7.3871409029,8.6033519554,16.455696202,4.520396913,5.9374230104,-0.95391953218,4.9669684366
"83",15.018104999,13.881401617,6.9858642733,7.0286903614,6.0268340187,-2.0491803279,13.968957871,7.435897436,1.2151215122,9.7387847269,3.3950617284,10.27173913,9.9137931034,9.1190476192,1.359223301,3.8924108723
"84",16.143497758,9.6346251816,9.1927743342,6.3133269939,7.1435860802,4.6025104602,-0.60311284042,3.927099154,-1.4655045147,2.375366569,10.119735764,13.405618531,6.8431372549,8.6624481779,14.173717612,13.613445378
"85",1.9305019305,8.59375,1.9084054082,-0.20252455543,-3.1336317744,3.3600000001,-2.1334899198,0.20876826729,-3.3560090703,2.5494127758,7.6007326008,8.5614950021,-3.7749814952,-5.0253292806,-7.8498293516,2.4468370773
"86",-2.2727272728,-0.96826462386,-8.4849176148,-9.4529802538,-0.69813176005,-4.79876161,-9.9999999999,-7.0833333334,12.060065697,2.043977926,-1.3754283544,-5.3242594076,-7.9807692308,-8.5129080435,5.0037037037,-4.0414507772
"87",5.3438911018,-2.2338430001,7.3502260753,7.6699782656,0.0099019704066,-2.4390243902,2,0.44843049327,-1.3864848569,4.2805854735,0.96575943808,3.5940803382,8.1295715778,7.6026119403,-2.4725759233,2.214450172
"88",10.37037037,4.3634727846,4.5328494823,3.5740359021,13.975364677,12.921043008,-0.6535947713,6.674107143,2.1711366539,9.8781779661,6.4580750668,21.632653061,-0.34522489605,-1.2636067635,-0.52441229645,14.782608695
"89",4.515990885,14.21196764,12.72286515,12.515977969,5.9972105999,10.234705656,13.285394706,13.04493661,-3.125,5.0711003094,8.3783783783,3.3221476509,1.0937499999,1.6371681417,12.36502454,7.6342013563
"90",2.5740274821,6.1433260138,0.24767813502,-4.0327631663,7.9999999998,16.230366492,12.950340798,12.851485148,1.0154993364,14.4773358,0.76493632459,0.032478077264,13.562596599,12.407488027,8.7685239114,2.8551161555
"91",6.9182389938,6.1312298314,3.0942596028,4.8793096885,-7.4074074073,-6.4564564565,-14.224137931,-14.19547289,-13.321947053,-4.0404040404,-1.5689512798,-5.8441558441,3.7938074174,2.0720371806,7.6630176105,-0.44827586216
"92",-4.2679794471,-4.5950280318,-1.4772189278,-0.061606906729,-0.52631578956,2.7287319423,2.0703517586,-1.0224948875,8.3743842366,1.7814369299,-0.52307718024,-6.8965517242,0.91351632454,0.11122642936,5.6587091069,3.7235885002
"93",1.5432098766,10.067914607,6.3441181332,9.5432643593,3.1746031747,-8.4375000001,5.9472233163,6.1983471074,-7.2893679787,-0.1874999999,7.3155663807,13.703703703,13.606557377,13.409961685,-3.8702928869,-5.1594590082
"94",-1.7629179331,1.3272903851,7.2605425663,10.487827933,-4.8717948719,-1.7406143344,-0.18587360591,1.6731517509,3.5148514849,12.71133375,3.95256917,12.034492459,20.288507283,22.650134804,-0.37953502824,-1.4260563381
"95",-15.418362462,1.9039490408,-1.7399047905,-3.852013064,2.7493261456,-3.2650225772,-6.8901303537,-6.0466896288,-6.2649450024,-5.0766680481,-0.83216224875,-6.7605633803,2.1985986952,-0.16662038315,-1.8149226978,-14.664410752
"96",-5.875432017,-3.9702685153,-7.0097135867,0.12228095256,-14.742917103,-3.7701974867,-4.28,-6.517311609,3.3724412742,2.0825147347,-9.6153846152,-3.8267875126,24.113475177,22.948539638,-6.1387494296,3.9570757881
"97",-12.499999999,-3.7828947368,-14.792285506,-16.215411834,-13.969230769,-5.5597014925,-8.4830756373,-2.9193899783,-5.459057072,-12.798306389,-13.787234042,-18.708551483,-7.9046959169,-8.7128754662,-9.6523219062,-5.6582168163
"98",-6.4285714286,-3.1669402696,10.511444347,13.037644128,15.164520743,8.6922165154,13.561643835,11.310592459,-0.78740157469,22.636091375,8.8914708405,6.9128381279,1.3485477179,1.3059701492,8.5579640536,2.2988505747
"99",2.8708732916,-17.773252251,-10.015670566,-7.4839508757,-2.1739130435,4.2893493275,7.7603538399,1.6129032258,-6.1554696178,-2.0991675716,-4.1860465117,-7.1312618896,-8.2190378709,-9.1589932474,-3.9552238808,-9.9783720014
"100",-5.5986540799,25.054089139,15.586212141,17.464803769,17.526140564,8.2025264333,-6.7164179103,2.3809523809,-0.68689181453,21.57116451,17.131019924,12.753492564,13.102869237,14.366532295,7.7700077702,-3.5532994923
"101",24.758643593,13.47461939,4.0192174143,2.9131721383,10.231884058,-0.5344021376,19.885852726,11.109198582,-11.873198847,25.12005061,7.305936073,0.55955235821,13.438735178,16.113744076,10.430185051,11.316553557
"102",-20.3187251,-19.210809693,-13.941607387,-15.686359709,2.2350775702,9.4694425787,0.37300779932,-3.5185185186,-29.687371191,-6.2042012701,-13.33190763,-8.5850556439,-1.6550522648,-5.693877551,-10.77257889,-1.2195121951
"103",2.4999999998,-4.0152963671,0.042303250484,0.52648420533,-4.4495884773,-1.3190184049,2.7027027025,0.69097888681,11.996251171,-10.677083333,1.3765978369,8.695652174,-22.161204606,-22.311188054,-5.2195121952,-4.1234567901
"104",-28.02171914,-4.7153811363,-8.562778254,-9.6161354053,-5.2759084792,-12.962387317,-2.9605263157,-4.5367899352,15.732217573,-9.3448563098,-7.1447199293,-8.4,-2.9130632681,-2.7855153204,-2.7450823713,-0.025753283626
"105",-16.997671552,-3.6815930975,0.49401524484,3.3518221846,6.8485365158,-5.7142857143,-4.0677966102,-3.9536741215,-4.3685354955,-30.912052117,0.050357008149,3.4497816594,-1.0314111581,0.57306590243,-28.571428571,-0.051519835142
"106",-38.943894389,-35.076923077,-18.216641303,-18.872856229,-12.234042553,-9.6590909091,-7.2438162544,-2.7027027028,-14.122137404,-33.99339934,-24.369747899,-5.4875474883,-32.235907153,-33.58974359,-5.1233396584,-4.6391752577
"107",13.633793417,-2.2527231025,-3.5850859775,-1.7838446497,10.606060606,14.800838574,2.8571428571,4.2735042734,-23.911111111,5.2395134649,14.583333333,16.560187972,-16.987067459,-13.942513942,-6.32,-0.87335627741
"108",14.049987866,3.7601785492,-2.8999882395,-5.7938203209,-12.958904109,-12.344777209,-4.1111111112,-0.90163934428,2.9205607478,3.5051546392,-2.74405051,-8.9546022491,19.3019901,17.99873108,18.53116994,6.6282420748
"109",15.957446808,-3.2697547683,-8.9025927317,-7.8749318585,-1.0072395342,-9.2083333332,1.0428736965,0.90984284543,-1.3620885357,-0.19920318728,-8.1244587251,8.2342177493,10.476536922,9.5884413309,-8.1237798643,-0.49410163911
"110",-12.293577981,-0.26460118434,-0.47591036937,-0.4092548379,5.7233704292,2.3405231757,0.15290519877,-0.61475409839,-24.16570771,-15.768463073,-3.4153005465,8.0304311074,7.6720447811,5.4734318817,-4.2231075698,-2.9126213592
"111",8.8175394596,23.098405146,6.9891746834,11.675723794,3.7293233083,8.0717488791,-1.0687022901,3.4226804124,17.905918058,2.2393964337,17.595251041,-4.2721357384,8.1957186545,8.1439393938,7.3211314475,11.607981007
"112",44.652981427,9.4250148191,17.288610124,17.344481968,2.0928091189,16.328718487,11.11111111,13.157894736,13.899613899,21.705426357,17.691342534,7.3940486925,5.0779157042,4.6599110663,20.736434109,4.3080939948
"113",8.4935062456,15.111211608,8.0858563389,11.906688621,-0.60037523454,4.5555555555,-1.6626707832,-5.1603301783,9.6045197739,31.27388535,5.7957925372,3.4424853066,17.155266015,16.621530129,0.78268157213,5.3625053608
"114",-1.2501562695,0.97316404117,-2.0297874677,-4.3113034321,-0.52850132115,-3.294367694,6.7436661699,0.67114093963,-15.979381443,-0.53372149432,-2.6351049576,9.3749999998,-7.1130676551,-5.8055152394,-5.7467532467,0.97087378635
"115",-3.785289277,11.614730878,3.5048798025,2.6430952648,2.6565464896,4.3956043955,0.17452006978,1.1764705881,11.90184049,6.975609756,9.7477064221,-9.8330241188,-3.0741337311,-2.0726524136,8.1639683087,-12.235576923
"116",5.6593805719,11.494002626,1.8792138571,4.1111259146,2.5878003697,2.9122807018,-4.0069686413,-4.0697674419,10.96491228,0.59279525758,1.6900828408,-1.7695473251,-2.6459143967,-0.28598665403,10.50955414,1.8898931801
"117",-5,20.135745657,16.197848436,14.689005318,-2.7027027028,6.8871462667,0.18148820327,0.60606060615,1.2845849804,7.6609247506,10.904200289,3.4771679933,8.8462563281,11.536010197,-1.7291066282,6.1827956988
"118",5.25,-9.6701889209,-3.9693511673,-1.9167318224,1.888888889,-2.2328548645,-9.7463768116,-9.638554217,-12.780487804,10.736842105,-6.6231343285,-0.52631578947,-0.36900369005,0.68965517239,-1.7595307918,0.49366602252
"119",22.891512923,9.9706144081,4.0868779628,5.6569493308,9.4147582698,12.624556907,16.419108792,12.311111111,-2.2371364653,3.3161156678,11.988011988,-0.099868164034,8.9135802469,10.730593607,-2.7961387281,-2.1822849809
